#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
90; 30856; 32.11; 25.72; -9.65; -0.32; 0.58; 9.88; 0.07; 0.33; 942.00; 967.00; 500.00; 493.00; 505.00; 508.00; 513.00; 0.00
91; 30956; 32.11; 25.72; -9.70; -0.26; 0.54; 9.91; 0.17; 0.22; 958.00; 983.00; 496.00; 492.00; 511.00; 508.00; 525.00; 0.00
92; 31056; 32.11; 25.72; -9.53; -0.14; 0.51; 9.83; 0.09; 0.11; 973.00; 990.00; 495.00; 497.00; 496.00; 509.00; 517.00; 0.00
93; 31156; 32.10; 25.72; -9.59; -0.28; 0.46; 9.96; 0.09; 0.41; 929.00; 1021.00; 494.00; 514.00; 497.00; 505.00; 504.00; 0.00
94; 31256; 32.10; 25.72; -9.62; -0.31; 0.59; 9.82; 0.12; 0.33; 967.00; 987.00; 495.00; 525.00; 505.00; 508.00; 525.00; 0.00
95; 31356; 32.11; 25.72; -9.55; -0.28; 0.75; 9.81; 0.11; 0.45; 916.00; 1023.00; 493.00; 526.00; 521.00; 507.00; 521.00; 0.00
96; 31456; 32.10; 25.73; -9.64; -0.22; 0.62; 9.88; 0.16; 0.34; 942.00; 962.00; 497.00; 504.00; 524.00; 512.00; 514.00; 0.00
97; 31556; 32.11; 25.73; -9.64; -0.30; 0.47; 9.96; 0.16; 0.22; 972.00; 996.00; 496.00; 495.00; 513.00; 507.00; 521.00; 0.00
98; 31656; 32.11; 25.73; -9.77; -0.25; 0.39; 10.00; 0.12; 0.04; 963.00; 953.00; 496.00; 498.00; 497.00; 510.00; 522.00; 0.00
99; 31756; 32.11; 25.73; -9.63; -0.32; 0.61; 10.05; 0.16; 0.34; 991.00; 959.00; 496.00; 514.00; 489.00; 508.00; 507.00; 0.00
100; 31856; 32.11; 25.72; -9.65; -0.25; 0.58; 9.92; 0.04; 0.45; 968.00; 996.00; 496.00; 524.00; 503.00; 512.00; 525.00; 0.00
101; 31956; 32.11; 25.72; -9.61; -0.44; 0.60; 9.84; -0.00; 0.82; 937.00; 992.00; 495.00; 524.00; 517.00; 507.00; 514.00; 0.00
102; 32056; 32.11; 25.73; -9.69; -0.25; 0.57; 9.72; 0.14; 0.19; 929.00; 965.00; 497.00; 506.00; 525.00; 512.00; 526.00; 0.00
103; 32156; 32.11; 25.73; -9.71; -0.27; 0.53; 9.94; 0.09; 0.39; 965.00; 1000.00; 497.00; 495.00; 512.00; 507.00; 521.00; 0.00
104; 32256; 32.11; 25.73; -9.84; -0.51; 0.81; 9.92; -0.15; 0.26; 963.00; 950.00; 495.00; 496.00; 499.00; 507.00; 521.00; 0.00
105; 32356; 32.11; 25.73; -9.60; -0.20; 0.33; 9.76; 0.11; 0.07; 935.00; 962.00; 494.00; 512.00; 497.00; 507.00; 531.00; 0.00
106; 32456; 32.11; 25.73; -9.64; -0.27; 0.58; 9.92; 0.15; 0.39; 950.00; 974.00; 506.00; 523.00; 503.00; 508.00; 517.00; 0.00
107; 32556; 32.11; 25.73; -9.58; -0.19; 0.18; 10.05; 0.19; 0.28; 993.00; 958.00; 497.00; 520.00; 516.00; 506.00; 521.00; 0.00
108; 32656; 32.11; 25.73; -9.59; -0.27; 0.54; 9.94; 0.07; 0.18; 937.00; 1010.00; 497.00; 506.00; 523.00; 510.00; 530.00; 0.00
109; 32756; 32.11; 25.73; -9.56; -0.14; 0.61; 9.98; 0.15; 0.37; 950.00; 977.00; 497.00; 497.00; 516.00; 508.00; 518.00; 0.00
110; 32856; 32.11; 25.73; -9.56; -0.36; 0.33; 9.89; 0.25; 0.43; 1002.00; 969.00; 497.00; 501.00; 499.00; 504.00; 525.00; 0.00
111; 32956; 32.11; 25.73; -9.63; -0.23; 0.56; 10.09; 0.07; 0.40; 933.00; 1014.00; 503.00; 511.00; 491.00; 513.00; 514.00; 0.00
112; 33056; 32.11; 25.73; -9.67; -0.35; 0.43; 9.92; 0.16; 0.20; 949.00; 986.00; 496.00; 523.00; 500.00; 509.00; 526.00; 0.00
113; 33156; 32.12; 25.73; -9.58; -0.28; 0.56; 9.91; 0.01; 0.21; 968.00; 996.00; 497.00; 521.00; 521.00; 505.00; 523.00; 0.00
114; 33256; 32.11; 25.73; -9.62; -0.30; 0.58; 9.80; 0.18; 0.40; 940.00; 1012.00; 497.00; 509.00; 523.00; 507.00; 531.00; 0.00
115; 33356; 32.11; 25.73; -9.68; -0.16; 0.60; 9.97; 0.09; 0.51; 953.00; 979.00; 497.00; 496.00; 517.00; 510.00; 524.00; 0.00
